location_id,name,brand,address,city,state,zip_code,phone,latitude,longitude,website,is_kroger_banner,status,status_basis,source,api_collected_at_utc
01100260,Kroger - Corner Village,KROGER,300 N Dean Rd,Auburn,AL,36830,3348211325.0,32.6105645,-85.463195,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600854,Kroger - Decatur,KROGER,1101 Beltline RD SE STE A,Decatur,AL,35601,2563509770.0,34.5601579,-86.9763541,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600894,Kroger - Crestwood Shopping Center,KROGER,241 Highway 31 SW Ste K,Hartselle,AL,35640,2567736413.0,34.4394583,-86.9428297,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600517,Kroger - Kroger Moores Mill Road Huntsville,KROGER,6070 Moores Mill Rd,Huntsville,AL,35811,2568525770.0,34.800504,-86.534893,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600508,Kroger - Kroger Oakwood Ave Huntsville,KROGER,2110 Oakwood Ave Nw,Huntsville,AL,35810,2565360715.0,34.750633,-86.600692,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600849,Kroger - Logan Square,KROGER,8404 Memorial Pkwy Sw,Huntsville,AL,35802,2568815696.0,34.6566463,-86.5712873,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600677,Kroger - Watercress,KROGER,7090 Highway 72 W,Huntsville,AL,35806,2567260600.0,34.757011,-86.711877,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
01100310,Kroger - Lanett,KROGER,1401 S Gilmer Ave,Lanett,AL,36863,3346442100.0,32.855689,-85.190821,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600606,Kroger - Kroger County Line Rd,KROGER,8855 Highway 72 W,Madison,AL,35758,2568704350.0,34.744504,-86.784721,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02600605,Kroger - Midtown Marketplace,KROGER,4579 Wall Triana Hwy,Madison,AL,35758,2564610914.0,34.7087169,-86.7488221,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
01100631,Kroger - Tiger Town,KROGER,2460 Enterprise Dr,Opelika,AL,36801,3347372643.0,32.6207323,-85.4116953,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500687,Kroger - Batesville AR,KROGER,303 S Saint Louis St,Batesville,AR,72501,8707932143.0,35.7761297,-91.639709,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500637,Kroger - Benton - Military Rd,KROGER,1410 Military Rd,Benton,AR,72015,5017760301.0,34.578061,-92.5776107,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500629,Kroger Marketplace - Benton Marketplace,KROGER,20820 Interstate 30 N,Benton,AR,72019,5015743880.0,34.61071,-92.53078,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500465,Kroger - Blytheville,KROGER,400 W Moultrie Dr,Blytheville,AR,72315,8707637524.0,35.9371785,-89.9069518,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500613,Kroger - Cabot,KROGER,1295 W Main St,Cabot,AR,72023,5016285185.0,34.9752199,-92.028805,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500652,Kroger - Conway - Oak St,KROGER,101 Oak St,Conway,AR,72032,5013298009.0,35.0904062,-92.4284337,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500625,Kroger Marketplace - Conway Marketplace,KROGER,855 Salem Rd,Conway,AR,72034,5013293628.0,35.089251,-92.4723198,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500619,Kroger - Hot Springs - Airport,KROGER,215 Airport Rd,Hot Springs,AR,71913,5016233340.0,34.4882784,-93.087213,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500590,Kroger - Hot Springs - Central,KROGER,3341 Central Ave,Hot Springs,AR,71913,5016240259.0,34.4738846,-93.0591943,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500621,Kroger - Hot Springs - Mall,KROGER,4407 Central Ave,Hot Springs,AR,71913,5015257083.0,34.4503642,-93.0744193,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500614,Kroger - Jacksonville,KROGER,103 Gregory Pl,Jacksonville,AR,72076,5019820151.0,34.8791531,-92.1101049,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500409,Kroger Marketplace - Jonesboro Marketplace,KROGER,1725 S Caraway Rd,Jonesboro,AR,72401,8709729990.0,35.823776,-90.679944,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500582,Kroger - Colony West,KROGER,10300 N Rodney Parham Rd,Little Rock,AR,72227,5012276364.0,34.7683326,-92.3879841,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500550,Kroger - E Roosevelt,KROGER,1100 E Roosevelt Rd,Little Rock,AR,72206,5013750585.0,34.7248922,-92.2609776,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500627,Kroger - Geyer Springs,KROGER,8824 Geyer Springs Rd,Little Rock,AR,72209,5015682330.0,34.6700644,-92.3458356,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
02500636,Kroger - Hillcrest,KROGER,614 Beechwood St,Little Rock,AR,72205,5016660102.0,34.7567667,-92.3248647,,True,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T18:57:47.243730+00:00
